ok  	github.com/eko/iris-bot/cmd/iris-bot	2.444s
?   	github.com/eko/iris-bot/cmd/migrate	[no test files]
ok  	github.com/eko/iris-bot/internal/admin	0.024s
ok  	github.com/eko/iris-bot/internal/app	0.044s
ok  	github.com/eko/iris-bot/internal/app/wire	0.021s
ok  	github.com/eko/iris-bot/internal/bootstrap	0.057s
ok  	github.com/eko/iris-bot/internal/config	0.003s
ok  	github.com/eko/iris-bot/internal/discord	0.409s
ok  	github.com/eko/iris-bot/internal/domain	0.024s
ok  	github.com/eko/iris-bot/internal/embedder	0.031s
ok  	github.com/eko/iris-bot/internal/llm	25.739s
ok  	github.com/eko/iris-bot/internal/logger	0.041s
ok  	github.com/eko/iris-bot/internal/lore/browser	0.026s
ok  	github.com/eko/iris-bot/internal/lore/ingest	0.026s
ok  	github.com/eko/iris-bot/internal/lore/rag	0.021s
ok  	github.com/eko/iris-bot/internal/lore/source	0.021s
ok  	github.com/eko/iris-bot/internal/memerank	0.023s
ok  	github.com/eko/iris-bot/internal/memory	0.665s
ok  	github.com/eko/iris-bot/internal/obs	0.029s
ok  	github.com/eko/iris-bot/internal/orchestrator	20.605s
ok  	github.com/eko/iris-bot/internal/persona	0.013s
ok  	github.com/eko/iris-bot/internal/reminder	0.014s
ok  	github.com/eko/iris-bot/internal/repository	3.817s
ok  	github.com/eko/iris-bot/internal/router	0.010s
ok  	github.com/eko/iris-bot/internal/safety	0.014s
ok  	github.com/eko/iris-bot/internal/settings	0.012s
ok  	github.com/eko/iris-bot/internal/testutil	0.068s
ok  	github.com/eko/iris-bot/internal/tools	0.208s
ok  	github.com/eko/iris-bot/internal/tools/canoncheck	0.012s
ok  	github.com/eko/iris-bot/internal/tools/charlookup	0.002s
ok  	github.com/eko/iris-bot/internal/tools/convsummary	0.006s
ok  	github.com/eko/iris-bot/internal/tools/escalate	0.002s
ok  	github.com/eko/iris-bot/internal/tools/itemlookup	0.002s
ok  	github.com/eko/iris-bot/internal/tools/memesearch	0.003s
ok  	github.com/eko/iris-bot/internal/tools/patchnotes	0.010s
ok  	github.com/eko/iris-bot/internal/tools/websearch	2.010s
